Название,Тип оружия,Базовая атака,Главная характеристика,Колиество стата главной характеристики,Пассивная способность на первом пробуждении,Пассивная способность на пятом пробуждении,Описание,История оружия,Необходимые для прокачки материалы
Смертельный бой,Древковое,454,Шанс крит. попадания,36.8%,"Если рядом 2 врага и более, сила атаки и защита увеличиваются на 16%; если рядом менее 2 врагов, сила атаки увеличивается на 24%.","Если рядом 2 врага и более, сила атаки и защита увеличиваются на 32%; если рядом менее 2 врагов, сила атаки увеличивается на 48%.",Один гладиатор очень дорожил этим копьём. Остриё его познало кровь бесчисленного множества людей и тварей.,"Темно-красное копьё, побывавшее в сотнях сражений. Оно было свидетелем храбрости одного гладиатора. 
Под подобные грому ликующие возгласы зрителей холодное остриё этого копья часто обагрялось кровью противника.
Кровопролитие - судьба гладиатора: его недостижимая свобода всегда была на кончике копья.
Алая сталь с глухим звуком входит в чужую плоть, объявляя об окончании битвы.

Когда представление раба-гладиатора подошло к концу, а земля дрогнула от ликования толпы, его хозяин сказал:
«Ты одержал достаточно побед. Ты славно сражался и достоин звания великого воина».
«Это копьё - мой прощальный подарок тебе. Но не хотел бы ты продолжить сражаться?..»
«Не хотел бы ты, став свободным человеком, остаться и вновь биться на арене, добывая славу для себя и меня?»
С тех пор прошло много лет, и уже не сосчитать, сколько воинов и монстров пало от этого копья.
Имя «непобедимый» было даровано этому алому копью, а сердце воина по-прежнему принадлежало его молодому хозяину.

Когда последнее выступление гладиатора подошло к концу, воздух сотряс восхищённый гул толпы.
Копьё гладиатора упало на пропитанный кровью песок, когда пылающий клинок рыжей воительницы пронзил грудь старого воина.
Изумлённый поражением, гладиатор растерянно взглянул на его обожаемого хозяина, на этого знатного человека, для которого был любимцем...
«Эберхарт, мой господин... Порадовало ли вас моё последние выступление?»
Но место его хозяина пустовало. Лишь серебряная тарелка да опрокинутый в гневе кубок остались на столе.

«Сначала я сражался за себя. Во имя своей свободы и жажды крови».
«Не знаю, с какой поры я стал сражаться и убивать во славу своего хозяина».
«Только во имя других мы можем драться в исступлении, как дикие звери, забыв о страхе».
«Ты, сражающаяся за свой народ, но не за себя, наверняка это понимаешь».","Мора - 754.2K, Обычная руда усиления - 1, Превосходная руда усиления - 1, Волшебная руда усиления - 604, Ветви артерий земли - 15, Листья артерий земли - 18, Ростки артерий земли - 27, Нектар попрыгуньи - 10, Мерцающий нектар - 15, Элементальный нектар - 18, Молочный зуб арктического волка - 3, Треснувший зуб арктического волка - 9, Сломанный клык арктического волка - 9, Ностальгия арктического волка - 4"
Каменное копьё,Древковое,565,Сила атаки,27.6%,"С каждым членом отряда из Ли Юэ сила атаки экипированного этим оружием персонажа увеличивается на 7%, а его шанс крит. попадания - на 3%. Эффект может складываться до 4 раз.","С каждым членом отряда из Ли Юэ сила атаки экипированного этим оружием персонажа увеличивается на 11%, а его шанс крит. попадания - на 7%. Эффект может складываться до 4 раз.","Копьё тонкой работы, выточенное из утёсов каменного леса Гуюнь. На свете нет ничего твёрже, чем его наконечник.","Любимое оружие древних Миллелитов.
Изготовленное из серебра, найденного в каменном лесу Гуюнь, способное пронзить даже чешую дракона...
Это оружие тем не менее оказалось слишком тяжёлым, и Миллелиты им больше не пользуются.

С древности Миллелиты были верны Властелину Камня, и девизом их была фраза:
«Пока Миллелиты на страже города, у зла нет шансов! Будем щитом для родных земель отныне и впредь, оградим их от тьмы и усмирим монстров!»
В прошлом они посвятили себя истреблению демонов и защите дорог и земель.
Сейчас, в мирное время, основной своей задачей они считают поддержание порядка.

Некогда в прошлом земля и горы многократно сотрясались.
Миллелиты выдали своим самым крепким воинам оружие родом из древних эпох.
То были ужасно тяжёлые копья Миллелитов, которые использовались в качестве копательного инструмента для спасения раненых.
«Копьё Миллелитов столь остро, что может пронзить гору».
«Если тысяча воинов встанет в строй с этими копьями наперевес, то они будут непобедимы».

Однако в ещё более далёком прошлом, в смутную эпоху войн,
Каждый Миллелит был достаточно силён, чтобы управляться с таким тяжёлым копьём.
Так они защищали земли Властелина Камня и свою родину.
Тысяча человек, вооружённых острыми копьями Миллелитов, вставали плечом к плечу и смело двигались вперёд, ограждая земли от зла.","Мора - 754.2K, Обычная руда усиления - 1, Превосходная руда усиления - 1, Волшебная руда усиления - 604, Прочный наконечник стрелы - 10, Острый наконечник стрелы - 15, Старый наконечник стрелы - 18, Хрупкие останки - 15, Крепкие останки - 18, Окаменевшие останки - 27, Зерно чёрного сидерита - 3, Кусочек чёрного сидерита - 9, Осколок чёрного сидерита - 9, Обломок чёрного сидерита - 4"
Копьё Фавония,Древковое,565,Восст. энергии,30.6%,"Критические атаки имеют 60% шанс создать элементальные частицы, которые восстанавливают 6 ед. энергии. Возникает раз в 12 сек.","Критические атаки имеют 100% шанс создать элементальные частицы, которые восстанавливают 6 ед. энергии. Возникает раз в 6 сек.","Копьё, состоящее на вооружении рыцарей Ордо Фавониус. Лёгкий ветерок ласкает направленный в небеса наконечник.","Почётное копьё среди рыцарей Ордо Фавониус. Его используют на парадах и военных смотрах, но оно также является ярым и смертельным противником чудовищ.
Изучая устойчивость высокого дерева на ветру, кузнечные мастера и учёные Мондштадта многое узнали об элементальных эффектах.
Поэтому это крепкое копьё - не только гордость Ордо Фавониус, но и квинтэссенция искусства и упорства защитников Мондштадта.
Стражи вольного ветра да не забудут, что дисциплина их должна быть прочна, как это копьё.

Возможность держать врага на расстоянии и не прибегать к ближнему бою, особенно если ты ему не обучен, делало его основным оружием многих во все времена.
Обычный человек, вооружившись даже заострённой палкой, вполне может противостоять солдату со стальным мечом.
Когда аристократия оказалась низвергнута, в знак триумфа по всей окрестности стояли воткнутые в землю заточенные палицы, флагштоки и вилы.

Когда-то фехтование обязательно входило в образование подрастающего аристократа, ведь оно прививало великолепные манеры и развивало мышление.
Владение копьём в те времена было уделом чужеземных гладиаторов и бунтарей,
но среди избравших это оружие нашёлся и один наследник знатной семьи.
По легенде Эберхарт с помощью лёгкого ветерка в длиннейшую ночь года остриём копья зачерпнул свежую росу.

Рождённый вне брака Эберхарт с детства мечтал возродить гордую и благородную аристократию былых дней во всём её великолепии.
Но для того, чтобы расшатать прогнившие устои, требовалась великая сила. Тогда...
Подговорить ли сына старшего брата воплотить свою мечту и стать благородным разбойником, а затем обманом вынудить его обратиться в бега,
и самому стать наследником семьи...
Или в тайне стать учеником одной ведьмы, перенять её мастерство владения копьём, а затем
при удобном случае избавиться от неё...

«Даже если меня ждёт порицание потомков, для достижения цели хороши все средства».","Мора - 754.2K, Обычная руда усиления - 1, Превосходная руда усиления - 1, Волшебная руда усиления - 604, Слизь слайма - 10, Выделения слайма - 15, Концентрат слайма - 18, Устройство хаоса - 15, Цепь хаоса - 18, Ядро хаоса - 27, Кандалы львиного клыка - 3, Цепи львиного клыка - 9, Оковы львиного клыка - 9, Мечты львиного клыка - 4"
Королевское копьё,Древковое,565,Сила атаки,27.6%,При нанесении урона противнику повышает шанс крит. попадания на 8%. Эффект может складываться до 5 раз. Добавочный шанс крит. попадания исчезает с первым крит. попаданием.,При нанесении урона противнику повышает шанс крит. попадания на 16%. Эффект может складываться до 5 раз. Добавочный шанс крит. попадания исчезает с первым крит. попаданием.,"Некогда это копьё было любимым оружием одного мондштадтского аристократа. Хотя оно никогда не видело солнечного света, это копьё и поныне остро.","Пика, которая в древности принадлежала аристократу, правящему Мондштадтом. Она была изготовлена мастером-кузнецом из высококачественных материалов.
Именно поэтому даже по прошествии многих веков она осталась такой же острой, как и в первый день.
Но в эпоху аристократов она не видела света дня, её доставали лишь при луне.

Аристократы считали, что благородный человек должен воевать мечом.
Звук рассекаемого воздуха - это песнь благородной души.
А копьё или лук - это оружие для низкородных.

То, что у простолюдина с вилами или острой палкой был шанс одолеть аристократа с мечом,
для древних правителей Мондштадта было неприемлемо.

Говорят, что иногда благородная молодёжь
заказывала у мастера подобные пики, покрытые фамильным орнаментом.
Если оружие не окропить кровью,
то оно - как и сам владелец - не будет признано знатью.

Для преобразования необходима сила.
Поскольку благородному человеку не пристало пользоваться таким оружием,
то одинокая тень могла сражаться им лишь под покровом тьмы.","Мора - 754.2K, Обычная руда усиления - 1, Превосходная руда усиления - 1, Волшебная руда усиления - 604, Пыльца туманной травы - 15, Мешочек с туманной травой - 18, Пучок туманной травы - 27, Шеврон рядового - 10, Шеврон сержанта - 15, Шеврон офицера - 18, Свинцовая пилюля Заоблачного моря - 3, Ртутная пилюля Заоблачного моря - 9, Золотая пилюля Заоблачного моря - 9, Примо эликсир Заоблачного моря - 4"
Копьё Драконьего хребта,Древковое,454,Бонус физ. урона,69.0%,"Попадания обычной или заряженной атакой имеют 60% шанс создать над противником ледяной кристалл и уронить его, нанося 80% урона силы атаки по площади. Если противник имеет эффект Крио, то наносит ему 200% урона силы атаки. Может возникнуть раз в 10 сек.","Попадания обычной или заряженной атакой имеют 100% шанс создать над противником ледяной кристалл и уронить его, нанося 140% урона силы атаки по площади. Если противник имеет эффект Крио, то наносит ему 360% урона силы атаки. Может возникнуть раз в 10 сек.",Копьё из драконьих клыков. От него исходит необычное тепло.,"Давным-давно у него была мечта...

Он мечтал, что однажды вместе со всеми уйдёт в далёкое-далёкое путешествие
в земли, где зеленеет трава, а ветер разносит звуки песен.
Он мечтал о том, чтобы петь песни вместе с добрыми людьми
и плясать в облаках с драконом, прекрасным, как самоцвет.

Открыв глаза, он увидел небо над горными пиками, разрываемое воющими метелями.
Мирные, зелёные земли были окрашены в красный огнём и кровью, 
а песня небесно-голубой лиры барда утонула в нескончаемом рёве.
А тот прекрасный, что самоцвет, дракон, словно любовник
вонзал острые зубы в его шею.

«Прощай, мама. Моё путешествие окончено.
Забыться вечным сном в снегах, сияющих, как серебро, не так уж и плохо...
Прощай, очаровательный поэт, прощай, прекрасный дракон!
Возможно, мы ещё свидимся в другое время и в другом месте
и сможем вместе петь и танцевать...»
Таковыми были его искренние мысли, пока он испускал свой последний дух.

«Великое благословение, что течёт по моим венам,
и прекрасные виды наполненной непроглядной тьмой вселенной, что породила меня...
Я передаю вам. Теперь они - ваше наследие...»","Мора - 754.2K, Обычная руда усиления - 1, Превосходная руда усиления - 1, Волшебная руда усиления - 604, Пыльца туманной травы - 15, Мешочек с туманной травой - 18, Пучок туманной травы - 27, Шеврон рядового - 10, Шеврон сержанта - 15, Шеврон офицера - 18, Молочный зуб арктического волка - 3, Треснувший зуб арктического волка - 9, Сломанный клык арктического волка - 9, Ностальгия арктического волка - 4"
Крест-копьё Китаин,Древковое,565,Мастерство стихий,110,"Увеличивает урон элементального навыка на 6%. Когда элементальный навык поражает противника, персонаж теряет 3 единицы энергии, но восстанавливает 3 единицы энергии каждые 2 сек. в течение следующих 6 сек. Эффект может возникнуть один раз в 10 сек. Эффект может сработать, даже когда персонаж не находится на поле боя.","Увеличивает урон элементального навыка на 12%. Когда элементальный навык поражает противника, персонаж теряет 3 единицы энергии, но восстанавливает 5 единицы энергии каждые 2 сек. в течение следующих 6 сек. Эффект может возникнуть один раз в 10 сек. Эффект может сработать, даже когда персонаж не находится на поле боя.","Копьё, что раньше принадлежало прославленному воину, который охранял Татаригами на острове Ясиори.","Необычное копье, которое создал Китаин Бунсо для своего особого стиля боя.
Из-за большого веса его очень трудно использовать без подготовки.
Но в умелых руках оно способно высвободить огромную разрушительную силу.

В далёком прошлом Китаин была семьёй, которая охотилась на Татаригами.
На протяжении многих поколений они были префектами Ясиори.

В прошлом в Инадзуме была присказка:
«Большие врата Аратаки, наследие Ивакура, длинная змея Китаин и Рассекающий туман».
Так описывали блистательных воинов, которые когда-то освещали землю, как кометы.
Также было много других имён. Но они затерялись в истории.
Так долго будучи охотником на демонов, трудно было не попробовать кровь глубин.","Мора - 754.2K, Обычная руда усиления - 1, Превосходная руда усиления - 1, Волшебная руда усиления - 604, Печать Похитителей сокровищ - 10, Печать серебряного ворона - 15, Печать золотого ворона - 18, Механизм хаоса - 15, Ось хаоса - 18, Око хаоса - 27, Маска злого военачальника - 3, Маска тигриной пасти - 9, Маска однорогого - 9, Маска кидзин - 4"
«Улов»,Древковое,510,Восст. энергии,45.9%,Повышает урон взрыва стихии на 16% и его шанс крит. попадания на 6%.,Повышает урон взрыва стихии на 32% и его шанс крит. попадания на 12%.,В далёком прошлом это копьё принадлежало знаменитому инадзумскому разбойнику.,"Любимое копьё знаменитого инадзумского разбойника прошлого.
Изначально оно служило для охоты на рыб, но отлично показало себя и в бою.
Говорят, это копьё способно пронзить даже вооружённого мечом магу кэнки.

«Когда-то я под именем Сэйрайский дьявол
Водил в бои десятки быстрых кораблей.
Теперь же стал я слаб - чтобы домой добраться,
Пришлось принять мне помощь бедняков и змей.
Мой остров изменился, стал другим Сэйрай.
Нет больше места для меня на землях Инадзумы.
Осталось мне пропасть, подобно жрице - той,
Чей ум тревожили порой пустые думы.»

Так жаловался разбойник, которого когда-то звали Ако Домэки. А потом он продолжил:
«Дзяномэ, друг! Я наконец свободен!
Жрица святилища! Я помню, как тогда хотела ты,
Как Камуна с Комбу Мару, однажды обойти весь мир.
Что ж, Ако Домэки, страж левых врат, исполнит твою волю -
Найдёт у мира край и взглянет на него.

Когда же свидимся опять в порту прибытия последнем,
О чудесах болтать настанет мой черёд».","Мора - 754.2K, Обычная руда усиления - 1, Превосходная руда усиления - 1, Волшебная руда усиления - 604, Механизм хаоса - 15, Ось хаоса - 18, Око хаоса - 27, Призрачная оболочка - 10, Призрачное сердце - 15, Призрачное ядро - 18, Маска злого военачальника - 3, Маска тигриной пасти - 9, Маска однорогого - 9, Маска кидзин - 4"
Режущий волны плавник,Древковое,620,Сила атаки,13.8%,"Урон взрыва стихии экипированного этим оружием персонажа увеличивается на 0,12% за каждую единицу суммы макс. энергии каждого члена отряда. Бонус урона не может превышать 40%.","Урон взрыва стихии экипированного этим оружием персонажа увеличивается на 0,24% за каждую единицу суммы макс. энергии каждого члена отряда. Бонус урона не может превышать 80%.",Нагината из сверкающего материала с морского дна. Когда-то принадлежала народу тэнгу.,"Нагината Умигодзэн, прославленной воительницы Ватацуми. Её лезвие струится сиянием морских глубин.
Песни Ватацуми хранят память о том, как имя Умигодзэн наводило ужас на армию Наруками.

Китовые песни жриц-сестёр проникали в мечты жителей острова, подобно волнам прилива.
Храбрецы Ватацуми возлагали на сестёр свои надежды и чаяния.
По высоко вздымающимся волнам, украшенным белой пеной, воины отправились к другим островам.
Но сверкание молний затмило свет звёзд Омиками и его войска...
Моун поглотила черная, словно стая воронья, грозовая туча. Бывший её спутником исполинский кит безжизненно погрузился на морское дно.
Юный предводитель войска исчез в разверзшемся под его ногами провале.

Умигодзэн исчезла среди волн и превратилась в легенду.
Быть может, она сгинула в безнадёжной попытке сразиться с тэнгу и вернуть тела товарищей.
А может, безымянная, затерялась среди волн на своём флагманском корабле.
Единственное уцелевшее свидетельство её свершений в этом мире - эта всё ещё острая нагината.

Память о её песне не исчезнет, пока волны не остановят свой бег.
А отзвук её всё ещё можно услышать, если приложить ухо к раковине или к брюху гигантского кита.","Мора - 754.2K, Обычная руда усиления - 1, Превосходная руда усиления - 1, Волшебная руда усиления - 604, Старая гарда - 10, Гарда кагэути - 15, Прославленная гарда - 18, Скрытый коготь - 15, Скрытый заточенный коготь - 18, Скрытый дьявольский коготь - 27, Маска злого военачальника - 3, Маска тигриной пасти - 9, Маска однорогого - 9, Маска кидзин - 4"
Пронзающий луну,Древковое,565,Мастерство стихий,110,"Активация статусов Горение, Стимуляция, Обострение, Разрастание, Бутонизация, Вегетация и Цветение создают рядом с персонажем Лист оживления, который существует 10 сек. Сила атаки подобравшего его персонажа повышается на 16% на 12 сек. Лист оживления может возникнуть раз в 20 сек. Этот эффект срабатывает, даже если экипированный персонаж не на поле боя.","Активация статусов Горение, Стимуляция, Обострение, Разрастание, Бутонизация, Вегетация и Цветение создают рядом с персонажем Лист оживления, который существует 10 сек. Сила атаки подобравшего его персонажа повышается на 32% на 12 сек. Лист оживления может возникнуть раз в 20 сек. Этот эффект срабатывает, даже если экипированный персонаж не на поле боя.","Оружие, полученное из истории аранар. Оно приняло форму гигантской стрелы и может использоваться в качестве копья.","«Эта история о детях, пленённых лунным светом...»

Порой, глядя на полную луну, эти дети скорбят, как скорбел последний Царь леса в минуту своей смерти.
Если верить преданиям, тот, кто выпил воду с отражением полной луны из следов Царя леса, становится его слугой.

История о луне впервые была поведана в стародавнем сне. А сон тот скрывался в лотосе нилотпала.
Задолго до рождения Арамухукунды из гранатового зёрнышка, в те годы, когда великая, благородная и прекрасная раса шагала по земле рука об руку с вашими предками, жили на свете три сестры.
Каждую ночь они выходили из своего перламутрового дворца и бродили по пустыне, а у их ног распускались лотосы нилотпала.

...
Однажды две из трёх лун обратились в пыль и исчезли. Последняя сестра, охваченная горем, решила больше никогда не покидать стен дворца.
Спустя много лет осколки лун достигли земли. К тому времени божество трав и деревьев превратило пустынные земли в леса.
Там, куда падала лунная пыль, расцветали лотосы нилотпала. А у вдохнувших пыль детей в сердце навсегда осталась жемчужная луна.
Так и появились дети, зачарованные лунным светом, и лунный свет благоволит им, и каждую ночь распускаются лотосы нилотпала.
Потому что три сестры, озаряющие друг друга, каждый миг мечтают о воссоединении.

Поведав эту историю, лотос нилотпала завял. Она ждала очень долго, пока пустыня не обратилась в лесную чащу, а великая раса не лишилась своего могущества,
потом на земле появились мы, и наконец перед ней предстал аранара, который выслушал её рассказ и передал его мне.
Потом этот аранара снова и снова терял свои воспоминания, пока не была уничтожена Ванарана, и мы не погрузились в сон.
Но это неважно, ведь её история прорастёт в наших и ваших сердцах жемчужным диском луны.

Дети, заворожённые светом луны, иногда при виде её плачут, потому что в глаза им попала лунная пыль.
Слёзы, что проливаются героями бесчисленных историй, никогда не бывают напрасны.","Мора - 754.2K, Обычная руда усиления - 1, Превосходная руда усиления - 1, Волшебная руда усиления - 604, Шеврон рядового - 10, Шеврон сержанта - 15, Шеврон офицера - 18, Сосуд хаоса - 15, Модуль хаоса - 18, Анкер хаоса - 27, Воспоминания цветущего оазиса - 3, Милость цветущего оазиса - 9, Печаль цветущего оазиса - 9, Истина цветущего оазиса - 4"
Копьё послания ветров,Древковое,510,Сила атаки,41.3%,"В течение 10 сек. после активации элементальной реакции сила атаки повысится на 12%, мастерство стихий - на 48 ед.","В течение 10 сек. после активации элементальной реакции сила атаки повысится на 24%, мастерство стихий - на 96 ед.","Штандарт, указующий путь ветру. Не всегда идиллия ветров остаётся такой же нежной, как и в начале...","Маяк, который ведёт путешественника домой. Серебряный сокол всегда склоняется перед далёким ветром.
Зелёное перо кружилось, пока она нежно пела, направляя возвращающегося домой на другую сторону, где дул нежный ветер.

«Мне всё равно, откуда ты и какие грехи совершила. Просто...» -
сказал «молодой господин» (хотя он таковым не был), вытирая кровь с её лица.
«Когда придёт время, когда ветры перемен пронесутся по этой земле, я хочу, чтобы ты была рядом со мной.
Сокола убил я. Держи это в тайне...»

Подобно тому, как родственная кровь будет пролита жестоким копьём и оставлена чернеть на снегу,
её сердце тоже было пронзено, словно невидимой стрелой, когда она увидела настоящего «молодого господина» перед своим мысленным взором.
С тех пор она выполняла не только работу служанки,
но и задания, необходимые для достижения его целей.
Она мечтала быть рядом с ним. Нет, хотя бы быть в толпе позади него.
Она мечтала купаться в ветрах - чего она даже не понимала - вместе с ним, её настоящим «молодым господином».
Пришлось выдернуть много гвоздей, чтобы великое здание рухнуло...

«Не горюй, Присцилла. Всё в этом мире имеет свою цену.
Помни, если нас раскроют, зажги маяк на пике Буревестника.
Когда ветры перемен пронесутся по этим землям, мы будем их диким, воющим авангардом. Ты и я».

«Да, господин Эберхарт».
Она забудет род и свой долг, оставит разлуку и больное сердце.
Гвоздей осталось не так уж много. Былая слава скоро вернётся.

Но...
Семейные соколы и гончие уловили запах заговора, и силуэты парусов так никогда и не были замечены на мысе.

В конце концов, она усмехнулась. Когда-то она протестовала против своей судьбы и судьбы бесчисленного множества других людей.
Однако в этот момент, когда она подняла глаза на бледный лунный свет и мечи, которые его отражали,
когда она посмотрела на насмешливую толпу, она не почувствовала ни огорчения, ни обиды, хотя и не знала почему.

Гвоздей осталось не так уж много. Былая слава скоро вернётся.
Молодой господин, вы будете похожи на этого серебряного сокола. Вы будете направлять ураган.
Не оплакивайте меня. Скоро я стану огоньком тысячи ветров...","Мора - 754.2K, Обычная руда усиления - 1, Превосходная руда усиления - 1, Волшебная руда усиления - 604, Слизь слайма - 10, Выделения слайма - 15, Концентрат слайма - 18, Мрачная статуэтка - 15, Тёмная статуэтка - 18, Смертельная статуэтка - 27, Молочный зуб арктического волка - 3, Треснувший зуб арктического волка - 9, Сломанный клык арктического волка - 9, Ностальгия арктического волка - 4"
Баллада фьордов,Древковое,510,Шанс крит. попадания,27.6%,"Если в отряде не менее 3 персонажей разных элементов, мастерство стихий увеличивается на 120 ед.","Если в отряде не менее 3 персонажей разных элементов, мастерство стихий увеличивается на 240 ед.",Древковое оружие рыбаков ледяной пустыни. Теперь от вас не уйдёт никакая добыча.,"Легенды гласят, что зима приходит из Гипербореи, и фьорды и огни северного сияния там изогнуты и остры, как волчьи клыки.
Среди ледников и снежных полей то и дело открываются новые расщелины, а после закрываются снова, образую вечно меняющуюся землю.
И вот однажды замёрзшая земля отрезала себя от пуповины континента, словно ведомая собственной волей или мечтой.
Она оставила за собой лишь легенду о юном Аяксе, открывшем в глубинах замёрзшего моря страну золота и белого камня.
Посреди морозного воздуха, медленно поднимающегося от толстых слоёв льда, история юного героя несёт в себе частичку тепла и света.
О нём рассказывают множество историй. Он заплыл на корабле в брюхо огромного кита, семь дней сражался с драконом на замёрзших равнинах.
Когда-то он и Снегурочка полюбили друг друга, но потеряли друг друга из-за коварных проделок подменышей - поистине трагическая история.

Последняя история, которую стоит рассказать, звучит примерно так.
Юноша, родившийся для ловли рыбы подо льдом с помощью гарпуна, попал в доселе неизведанное царство.
Древняя столица погрузилась под землю в результате какой-то давней катастрофы, но, несмотря на то что была погребена под землёй, сияла, как рассвет.
Величественный и молчаливый царь по-прежнему восседал на своём роскошном точёном белом троне, скипетр в его руках не успели изъесть насекомые,
а серебристо-белые деревья во дворе были похожи на руки матери или возлюбленной, заключившие добродетельного и мудрого священника в свои объятия.
Странная и прекрасная жизнь, искорёженные жестокие монстры - один за другим они стали пробуждаться от тысячелетней дремоты...

И донёсся голос, словно откуда-то издалека...
«...Отец! Отец! Клюёт!»

«...Ой, прости».

«Что было дальше?»

«Ах, да... И вот, наконец, мальчик победил дракона, который спал в глубине королевства.
Сокровищница дракона была полна золота. Но мальчик был добрым и смелым, он знал, что золото - истинная причина бедствий и хаоса, и поэтому взял лишь немного - столько, чтобы хватило на собственные нужды и на лечение своих больных друзей».

«А? И это конец истории?»

«Конец».

«Правда?.. Тогда расскажи ещё одну историю!»

«В следующий раз, хорошо? А сегодня давайте остановимся на этом, а то и рыбу распугаем».","Мора - 754.2K, Обычная руда усиления - 1, Превосходная руда усиления - 1, Волшебная руда усиления - 604, Нектар попрыгуньи - 10, Мерцающий нектар - 15, Элементальный нектар - 18, Нераспустившийся цветок - 15, Заветный цветок - 18, Распустившийся цветок странника - 27, Разбитая чаша непорочного моря - 3, Чаша непорочного моря - 9, Серебряный кубок непорочного моря - 9, Золотой кубок непорочного моря - 4"
